"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"48",113010,"Fair Game (1995)","Action",1995-11-03,"1995","11","United States","Warner Bros.;Silver Pictures;Warner Bros.",5e+07,4946332,91,"William Baldwin;Cindy Crawford;Steven Berkoff;Christopher McDonald;Miguel Sandoval;Johann Carlo;Salma Hayek;John Bedford Lloyd;Olek Krupa;Jenette Goldstein;Marc Macaulay;Sonny Carl Davis;Frank Medrano;Don Yesso;Paul Dillon;Gustav Vintas;Christian Bodegaard;Gary Francis Hope","Andrew Sipes","United States"
"62",116483,"Happy Gilmore (1996)","Comedy",1996-02-16,"1996","2","United States","Universal Pictures;Brillstein-Grey Entertainment;Robert Simonds Productions",1.2e+07,8514125,92,"Adam Sandler;Christopher McDonald;Julie Bowen;Frances Bay;Carl Weathers;Allen Covert;Robert Smigel;Bob Barker;Richard Kiel;Dennis Dugan;Joe Flaherty;Lee Trevino;Kevin Nealon;Verne Lundquist;Jared Van Snellenberg;Ken Camroux-Taylor;Rich Elwood;Nancy Hillis","Dennis Dugan","United States"
"68",114536,"Steal Big, Steal Little (1995)","Comedy",1995-09-29,"1995","9","United States","Chicago Pacific Entertainment;Savoy Pictures",3.5e+07,1761890,135,"Andy Garcia;Alan Arkin;Rachel Ticotin;Joe Pantoliano;Holland Taylor;Ally Walker;David Ogden Stiers;Charles Rocket;Richard Bradford;Kevin McCarthy;Nathan Davis;Dominik Garcia;Mike Nussbaum;Rita Taggart;Takaaki Ishibashi;Tom Wood;Philip Arthur Ross;Steven Robert Ross","Andrew Davis","United States"
"70",116324,"Flirting With Disaster (1996)","Comedy",1996-04-12,"1996","4","United States","Miramax",7e+06,164458,92,"Ben Stiller;Patricia Arquette;Téa Leoni;Mary Tyler Moore;George Segal;Alan Alda;Lily Tomlin;Richard Jenkins;Josh Brolin;Celia Weston;Glenn Fitzgerald;Beth Stern;Cynthia LaMontagne;David Patrick Kelly;John Ford Noonan;Charlet Oberly;Nadia Dajani;Don Creech","David O. Russell","United States"
"71",113451,"Jade (1995)","Thriller",1995-10-13,"1995","10","United States","Paramount Pictures;Robert Evans Company",5e+07,4284246,95,"David Caruso;Linda Fiorentino;Chazz Palminteri;Richard Crenna;Michael Biehn;Donna Murphy;Ken King;Holt McCallany;David Hunt;Angie Everhart;Kevin Tighe;Robin Thomas;Jay Jacobus;Victoria Smith;Drew Snyder;Bud Bostwick;Darryl Chan;Graham Cowley","William Friedkin","United States"
"72",116130,"Down Periscope (1996)","Comedy",1996-03-01,"1996","3","United States","Sprockets Music;Twentieth Century Fox",3.1e+07,7231087,92,"Kelsey Grammer;Lauren Holly;Rob Schneider;Harry Dean Stanton;Bruce Dern;William H. Macy;Ken Hudson Campbell;Toby Huss;Duane Martin;Jonathan Penner;Bradford Tatum;Harland Williams;Rip Torn;James Martin Jr.;Jordan Marder;Matt Landers;Joseph Latimore;Patton Oswalt","David S. Ward","United States"
"73",115685,"Birdcage, The (1996)","Comedy",1996-03-08,"1996","3","United States","United Artists",3.1e+07,18275828,117,"Robin Williams;Nathan Lane;Gene Hackman;Dianne Wiest;Dan Futterman;Calista Flockhart;Hank Azaria;Christine Baranski;Tom McGowan;Grant Heslov;Kirby Mitchell;James Lally;Luca Tommassini;Luis Camacho;André Fuentes;Tony Gonzalez;Dante Henderson;Scott Kaske","Mike Nichols","United States"
"74",112585,"Brothers McMullen, The (1995)","Comedy",1995-08-11,"1995","8","United States","Brothers McMullen Productions;Marlboro Road Gang Productions;Videography Productions",238000,167815,98,"Jack Mulcahy;Michael McGlone;Edward Burns;Shari Albert;Maxine Bahns;Catharine Bolz;Connie Britton;Peter Johansen;Jennifer Jostyn;Elizabeth McKay","Edward Burns","United States"
"76",112461,"Basketball Diaries, The (1995)","Drama",1995-04-21,"1995","4","United States","New Line Cinema;Island Pictures",2e+06,765335,102,"Leonardo DiCaprio;Lorraine Bracco;Marilyn Sokol;James Madio;Patrick McGaw;Mark Wahlberg;Roy Cooper;Vincent Pastore;Bruno Kirby;Jimmy Papiris;Nick Gaetani;Alexander Chaplin;Ben Jorgensen;Josh Mostel;Juliette Lewis;Michael Imperioli;Akiko Ashley;Ernie Hudson","Scott Kalvert","United States"
"77",112427,"Awfully Big Adventure, An (1995)","Drama",1995-07-21,"1995","7","United Kingdom","BBC Films;British Screen Productions;Portman Productions",4e+06,49429,112,"Hugh Grant;Alan Rickman;Georgina Cates;Alun Armstrong;Peter Firth;Prunella Scales;Rita Tushingham;Alan Cox;Edward Petherbridge;Nicola Pagett;Carol Drinkwater;Clive Merrison;Gerard McSorley;Ruth McCabe;James Frain;Pat Laffan;Patti Love;Hilary Reynolds","Mike Newell","United Kingdom"
"94",113540,"Kids (1995)","Drama",1995-09-01,"1995","9","United States","Guys Upstairs;Independent Pictures (II);Kids NY Limited",1500000,85709,91,"Leo Fitzpatrick;Justin Pierce;Chloë Sevigny;Sarah Henderson;Joseph Chan;Johnathan Staci Kim;Adriane Brown;Sajan Bhagat;Billy Valdes;Billy Waldeman;Javier Nunez;Luis Núñez;Christian Bruna;Alex Glen;Rosario Dawson;Julia Mendoza;Gillian Goldstein;Priscilla Forsyth","Larry Clark","United States"
"95",113677,"Living in Oblivion (1995)","Comedy",1995-07-21,"1995","7","United States","JDI Productions;Lemon Sky Productions",5e+05,47965,90,"Steve Buscemi;Catherine Keener;Dermot Mulroney;Danielle von Zerneck;James Le Gros;Rica Martens;Peter Dinklage;Kevin Corrigan;Hilary Gilford;Robert Wightman;Tom Jarmusch;Michael Griffiths;Matthew Grace;Ryan Bowker;Francesca DiMauro;Norman Fields;Lori Tan Chinn;Vincenzo Amelia","Tom DiCillo","United States"
"96",113690,"Lord of Illusions (1995)","Horror",1995-08-25,"1995","8","United StatesUnited Kingdom","Seraphim Films;Propaganda Films",1.2e+07,4800258,109,"Scott Bakula;Kevin J. O'Connor;J. Trevor Edmond;Daniel von Bargen;Joseph Latimore;Sheila Tousey;Susan Traylor;Ashley Tesoro;Michael Angelo Stuno;Keith Brunsmann;Barbara Patrick;Wayne Grace;Mikey LeBeau;Robb Humphreys;Jimmy Shaw;Johnny Venokur;Jordan Marder;Barry Del Sherman","Clive Barker","United States"
"100",110620,"Nadja (1994)","Drama",1995-09-01,"1995","9","United States","Kino Link Company",1e+06,23846,93,"Elina Löwensohn;Peter Fonda;Nic Ratner;Karl Geary;Martin Donovan;Jack Lotz;Galaxy Craze;David Lynch;Isabel Gillies;José Zúñiga;Bernadette Jurkowski;Jeff Winner;Sean;Suzy Amis;Jared Harris;Bob Gosse;Rome Neal;Giancarlo Roma","Michael Almereyda","United States"
"102",114095,"Party Girl (1995)","Comedy",1995-06-09,"1995","6","United States","Party Productions",150000,57237,94,"Parker Posey;Omar Townsend;The Lady Bunny;Lum Chang Pang;Anthony DeSando;Liev Schreiber;Guillermo Diaz;Elizabeth Beer;Sasha von Scherler;Richard Topol;C. Francis Blackchild;John Ventimiglia;Donna Mitchell;Dwight Ewell;Wendell Daughtery;Teresa Lebron;Timothy Duperron;Robert Sorce","Daisy von Scherler Mayer","United States"
"104",114323,"Safe (1995)","Thriller",1995-06-30,"1995","6","United StatesUnited Kingdom","American Playhouse Theatrical Films;Killer Films;Chemical Films",1e+06,15830,119,"Julianne Moore;Xander Berkeley;Dean Norris;Julie Burgess;Ronnie Farer;Jodie Markell;Susan Norman;Martha Velez;Chauncey Leopardi;Saachiko;Tim Gardner;Wendy Haynes;Allan Wasserman;Jean St. James;Steven Gilborn;Janel Moloney;Brendan Dolan;John Apicella","Todd Haynes","United States"
"106",114436,"Showgirls (1995)","Drama",1995-09-22,"1995","9","FranceUnited States","Carolco Pictures;Chargeurs;United Artists",4.5e+07,8112627,128,"Elizabeth Berkley;Kyle MacLachlan;Gina Gershon;Glenn Plummer;Robert Davi;Alan Rachins;Gina Ravera;Lin Tucci;Greg Travis;Al Ruscio;Patrick Bristow;William Shockley;Bobbie Phillips;Dewey Weber;Rena Riffel;Melissa Williams;Ungela Brockman;Melinda Songer Soderling","Paul Verhoeven","France"
"109",114534,"Stars Fell on Henrietta, The (1995)","Drama",1995-09-15,"1995","9","United States","Butcher's Run Films;Malpaso Productions;Warner Bros.",1.3e+07,16406,109,"Robert Duvall;Aidan Quinn;Frances Fisher;Brian Dennehy;Lexi Randall;Kaytlyn Knowles;Francesca Eastwood;Joe Stevens;Billy Bob Thornton;Victor Wong;Paul Lazar;Spencer Garrett;Park Overall;Zach Grenier;Wayne Dehart;Woody Watson;Rodger Boyce;George Haynes","James Keach","United States"
"113",114781,"Under Siege 2: Dark Territory (1995)","Action",1995-07-14,"1995","7","United States","Warner Bros.;New Regency Productions;Seagal/Nasso Productions",6e+07,12624402,100,"Steven Seagal;Eric Bogosian;Everett McGill;Katherine Heigl;Morris Chestnut;Peter Greene;Patrick Kilpatrick;Scott Sowers;Afifi Alaouie;Andy Romano;Brenda Bakke;Sandra Taylor;Jonathan Banks;David Gianopoulos;Royce D. Applegate;Nick Mancuso;Christopher Darga;Don Blakely","Geoff Murphy","United States"
"116",114928,"White Man's Burden (1995)","Drama",1995-12-01,"1995","12","FranceUnited States","A Band Apart;Chromatic;Home Box Office (HBO)",7e+06,1743251,89,"John Travolta;Harry Belafonte;Kelly Lynch;Margaret Avery;Tom Bower;Andrew Lawrence;Bumper Robinson;Tom Wright;Sheryl Lee Ralph;Judith Drake;Robert Gossett;Wesley Thompson;Tom Nolan;Willie C. Carpenter;Michael Beach;Lee Duncan;Wanda-Lee Evans;Lawrence A. Mandley","Desmond Nakano","France"
"117",114938,"Wild Bill (1995)","Western",1995-12-01,"1995","12","United States","The Zanuck Company;United Artists",3e+07,987515,98,"Jeff Bridges;Ellen Barkin;John Hurt;Diane Lane;Keith Carradine;David Arquette;Christina Applegate;Bruce Dern;James Gammon;Marjoe Gortner;James Remar;Karen Huie;Steve Reevis;Robert Knott;Pato Hoffmann;Patrick Gorman;Lee de Broux;Stoney Jackson","Walter Hill","United States"
"118",111579,"Burnt by the Sun (Utomlyonnye solntsem) (1994)","Drama",1995-04-21,"1995","4","RussiaFrance","Studio Trite;Caméra One;Goskino",2800000,60074,135,"Nikita Mikhalkov;Ingeborga Dapkunaite;Oleg Menshikov;Nadezhda Mikhalkova;Vyacheslav Tikhonov;Svetlana Kryuchkova;Vladimir Ilin;Alla Kazanskaya;Nina Arkhipova;Avangard Leontev;André Oumansky;Inna Ulyanova;Lyubov Rudneva;Vladimir Ryabov;Vladimir Belousov;Aleksey Pokatilov;Evgeniy Mironov;Tamara Akopova","Nikita Mikhalkov","Russia"
"120",112508,"Billy Madison (1995)","Comedy",1995-02-10,"1995","2","United States","Universal Pictures;Robert Simonds Productions",1e+07,6639080,89,"Adam Sandler;Darren McGavin;Bridgette Wilson-Sampras;Bradley Whitford;Josh Mostel;Norm MacDonald;Mark Beltzman;Larry Hankin;Theresa Merritt;Dina Platias;Hrant Alianak;Vincent Marino;Jack Mather;Christopher Kelk;Marc Donato;Keith Cole;Chris Mei;Conor Devitt","Tamra Davis","United States"
"122",109445,"Clerks (1994)","Comedy",1994-11-09,"1994","11","United States","View Askew Productions;Miramax",27000,31665,92,"Brian O'Halloran;Jeff Anderson;Marilyn Ghigliotti;Lisa Spoonauer;Jason Mewes;Kevin Smith;Scott Mosier;Scott Schiaffo;Al Berkowitz;Walter Flanagan;Ed Hapstak;Lee Bendick;David Klein;Pattijean Csik;Ken Clark;Donna Jeanne;Virginia Smith;Betsy Broussard","Kevin Smith","United States"
"128",109758,"Exit to Eden (1994)","Comedy",1994-10-14,"1994","10","United States","Savoy Pictures",2.5e+07,3012695,113,"Dana Delany;Dan Aykroyd;Rosie O'Donnell;Paul Mercurio;Hector Elizondo;Stuart Wilson;Iman;Sean O'Bryan;Stephanie Niznik;Phil Redrow;Sandra Taylor;Julie Hughes;Laurelle Mehus;Tom Hines;Alison Moir;Deborah Pratt;Laura Harring;James Patrick Stuart","Garry Marshall","United States"
"131",113303,"Hideaway (1995)","Thriller",1995-03-03,"1995","3","United StatesCanada","TriStar Pictures;S/Q Productions",1.5e+07,5213455,106,"Jeff Goldblum;Christine Lahti;Alicia Silverstone;Jeremy Sisto;Alfred Molina;Rae Dawn Chong;Kenneth Welsh;Saraphina Joachim;Shirley Broderick;Tom McBeath;Joely Collins;Roger Cross;Michael McDonald;Don S. Davis;Rebecca Toolan;Hiro Kanagawa;Jayme Knox;Norma Jean Wick","Brett Leonard","United States"
"135",110057,"Hoop Dreams (1994)","Documentary",1994-10-14,"1994","10","United States","KTCA Minneapolis;Kartemquin Films;Sprockets Music",7e+05,18396,170,"William Gates;Arthur Agee;Emma Gates;Curtis Gates;Sheila Agee;Arthur 'Bo' Agee;Earl Smith;Gene Pingatore;Isiah Thomas;Marlyn Hopewell;Bill Gleason;Patricia Weir;Marjorie Heard;Luther Bedford;Aretha Mitchell;Shannon Johnson;Tomika Agee;Joe 'Sweetie' Agee","Steve James","United States"
"137",110066,"Houseguest (1994)","Comedy",1995-01-06,"1995","1","United States","Hollywood Pictures;Caravan Pictures",10500000,5831302,113,"Sinbad;Phil Hartman;Kim Greist;Kim Murphy;Chauncey Leopardi;Talia Seider;Paul Ben-Victor;Tony Longo;Jeffrey Jones;Stan Shaw;Ron Glass;Kevin Jordan;Mason Adams;Patricia Fraser;Don Brockett;Kevin West;Wynonna Smith;Kirk Baily","Randall Miller","United States"
"138",113360,"Hunted, The (1995)","Action",1995-02-24,"1995","2","United States","Universal Pictures;Davis Entertainment;Bregman/Baer Productions",2e+07,2723495,111,"Christopher Lambert;John Lone;Joan Chen;Yoshio Harada;Yôko Shimada;Mari Natsuki;Tak Kubota;Masumi Okada;Tatsuya Irie;Michael Warren;Bart Anderson;James Saito;Seth Sakai;Toshishiro Obata;Ken Kensei;Hiroyasu Takagi;Michio Itano;Naoko Sasaki","J.F. Lawton","United States"
"141",113463,"Jefferson in Paris (1995)","Drama",1995-03-31,"1995","3","FranceUnited States","Touchstone Pictures;Merchant Ivory Productions;Centre national du cinéma et de l'image animée (CNC)",1.4e+07,61349,139,"Nick Nolte;Greta Scacchi;Gwyneth Paltrow;Estelle Eonnet;Thandiwe Newton;Seth Gilliam;Todd Boyce;Nigel Whitmey;Nicolas Silberg;Catherine Samie;Lionel Robert;Stanislas Carré de Malberg;Jean Rupert;Yvette Petit;Paolo Mantini;Frédéric van den Driessche;Humbert Balsan;Nichel Rois","James Ivory","France"
"142",110189,"Jerky Boys, The (1995)","Comedy",1995-02-03,"1995","2","United States","Touchstone Pictures;Caravan Pictures",7e+06,4392403,82,"John G. Brennan;Kamal Ahmed;Alan Arkin;William Hickey;Alan North;Brad Sullivan;James Lorinz;Suzanne Shepherd;Vincent Pastore;Brian Tarantina;Peter Appel;Darryl Theirse;David Pittu;Frank Senger;Michael Louis Wells;Ozzy Osbourne;Henry Bogdan;Rob Echeverria","James Melkonian","United States"
"147",110367,"Little Women (1994)","Drama",1994-12-25,"1994","12","United StatesCanada","Columbia Pictures;DiNovi Pictures",1.8e+07,2411247,115,"Susan Sarandon;Winona Ryder;Kirsten Dunst;Claire Danes;Gabriel Byrne;Trini Alvarado;Samantha Mathis;Christian Bale;Eric Stoltz;John Neville;Mary Wickes;Florence Paterson;Robin Collins;Corrie Clark;Rebecca Toolan;Curt Willington;Billie Pleffer;Louella Pleffer","Gillian Armstrong","United States"
"152",113691,"Losing Isaiah (1995)","Drama",1995-03-17,"1995","3","United States","Paramount Pictures",1.7e+07,2520972,111,"Jessica Lange;Halle Berry;David Strathairn;Cuba Gooding Jr.;Daisy Eagan;Marc John Jefferies;Samuel L. Jackson;Joie Lee;Regina Taylor;LaTanya Richardson Jackson;Jacqueline Brookes;Donovon Ian H. McKnight;Rikkia A. Smith;Paulette McDaniels;Velma Austin;Glenda Starr Kelly;Joan Kohn;Patrick Clear","Stephen Gyllenhaal","United States"
"155",110538,"Mixed Nuts (1994)","Comedy",1994-12-21,"1994","12","United States","TriStar Pictures",1.5e+07,2307850,97,"Steve Martin;Madeline Kahn;Robert Klein;Anthony LaPaglia;Juliette Lewis;Rob Reiner;Adam Sandler;Liev Schreiber;Rita Wilson;Parker Posey;Jon Stewart;Joely Fisher;Steven Randazzo;Christine Cavanaugh;Henry Brown;Garry Shandling;Steven Wright;Brian Markinson","Nora Ephron","United States"
"156",113896,"My Family (1995)","Drama",1995-05-03,"1995","5","United States","American Playhouse;American Zoetrope;Majestic Films International",5500000,2164840,128,"Jimmy Smits;Esai Morales;Edward James Olmos;Rafael Cortes;Ivette Reina;Amelia Zapata;Jacob Vargas;Emilio Del Haro;Abel Woolrich;León Singer;Rosalee Mayeux;Jennifer Lopez;Alicia del Lago;Thomas Rosales Jr.;Anthony Gonzalez;Michael Gonzalez;Constance Marie;Benito Martinez","Gregory Nava","United States"
"158",110638,"Nell (1994)","Drama",1994-12-23,"1994","12","United States","Egg Pictures;PolyGram Filmed Entertainment;Twentieth Century Fox",24500000,62663,112,"Jodie Foster;Liam Neeson;Natasha Richardson;Richard Libertini;Nick Searcy;Robin Mullins;Jeremy Davies;O'Neal Compton;Heather M. Bomba;Marianne E. Bomba;Sean Bridgers;Joe Inscoe;Stephanie Dawn Wood;Mary Lynn Riner;Lucile McIntyre;Al Wiggins;Beth Bostic;Rob Buren III","Michael Apted","United States"
"164",105652,"Pushing Hands (Tui shou) (1992)","Drama",1991-12-07,"1991","12","TaiwanUnited States","Ang Lee Productions;Central Motion Pictures",4e+05,9567,105,"Sihung Lung;Lai Wang;Bozhao Wang;Deb Snyder;Fanny De Luz;Haan Lee;Hung-Chang Wang;Jeanne Kuo Chang;James Lou;B.C. Lee;Chit-Man Chan;Victor Chan;Bin Chao;Audrey Haight;Jackson King;Eugene Lau;Bar-Chya Lee;Richard Light","Ang Lee","Taiwan"
"165",110932,"Quiz Show (1994)","Drama",1994-10-07,"1994","10","United States","Michael Jacobs Productions;Baltimore Pictures;Hollywood Pictures",3.1e+07,757714,133,"Ralph Fiennes;John Turturro;Rob Morrow;Paul Scofield;David Paymer;Hank Azaria;Christopher McDonald;Johann Carlo;Elizabeth Wilson;Allan Rich;Mira Sorvino;George Martin;Paul Guilfoyle;Griffin Dunne;Michael Mantell;Byron Jennings;Ben Shenkman;Timothy Busfield","Robert Redford","United States"
"168",110907,"Ready to Wear (Pret-A-Porter) (1994)","Comedy",1994-12-25,"1994","12","United States","Etalon Film;Miramax",1.8e+07,2026295,133,"Sophia Loren;Julia Roberts;Marcello Mastroianni;Jean-Pierre Cassel;Kim Basinger;Chiara Mastroianni;Stephen Rea;Anouk Aimée;Rupert Everett;Rossy de Palma;Tara Leon;Georgianna Robertson;Lili Taylor;Ute Lemper;Forest Whitaker;Tom Novembre;Richard E. Grant;Anne Canovas","Robert Altman","United States"
"182",114694,"Tommy Boy (1995)","Comedy",1995-03-31,"1995","3","United StatesCanada","Broadway Pictures;Paramount Pictures",2e+07,8027843,97,"Chris Farley;David Spade;Brian Dennehy;Bo Derek;Dan Aykroyd;Julie Warner;Sean McCann;Zach Grenier;James Blendick;Clinton Turnbull;Ryder Britton;Paul Greenberg;Graeme Millington;Michael Cram;Dean Marshall;Trent McMullen;Philip Williams;David Malloy","Peter Segal","United States"
"185",108550,"What's Eating Gilbert Grape (1993)","Drama",1994-03-04,"1994","3","United States","Paramount Pictures",1.1e+07,74421,118,"Johnny Depp;Leonardo DiCaprio;Juliette Lewis;Mary Steenburgen;Darlene Cates;Laura Harrington;Mary Kate Schellhardt;Kevin Tighe;John C. Reilly;Crispin Glover;Penelope Branning;Tim Green;Susan Loughran;Robert B. Hedges;Mark Jordan;Cameron Finley;Brady Coleman;Tim Simek","Lasse Hallström","United States"
"188",110598,"Muriel's Wedding (1994)","Comedy",1995-03-31,"1995","3","AustraliaFrance","CiBy 2000;Film Victoria;House & Moorhouse Films",9e+06,244969,106,"Toni Collette;Rachel Griffiths;Bill Hunter;Sophie Lee;Roz Hammond;Belinda Jarrett;Pippa Grandison;Jeanie Drynan;Dan Wyllie;Gabby Millgate;Gennie Nevinson;Matt Day;Chris Haywood;Daniel Lapaine;Susan Prior;Nathan Kaye;Cecily Polson;Rob Steele","P.J. Hogan","Australia"
"190",109040,"Ace Ventura: Pet Detective (1994)","Comedy",1994-02-04,"1994","2","United States","Morgan Creek Entertainment",1.5e+07,12115105,86,"Jim Carrey;Courteney Cox;Sean Young;Tone Loc;Dan Marino;Noble Willingham;Troy Evans;Raynor Scheine;Udo Kier;Frank Adonis;Tiny Ron;David Margulies;John Capodice;Judy Clayton;Bill Zuckert;Alice Drummond;Rebecca Ferratti;Mark Margolis","Tom Shadyac","United States"
"192",109348,"Bullets Over Broadway (1994)","Comedy",1995-02-24,"1995","2","United States","Miramax;Sweetland Films;Magnolia Productions",2e+07,86072,98,"John Cusack;Dianne Wiest;Jennifer Tilly;Chazz Palminteri;Mary-Louise Parker;Jack Warden;Joe Viterelli;Rob Reiner;Tracey Ullman;Jim Broadbent;Harvey Fierstein;Stacey Nelkin;Malgorzata Zajaczkowska;Charles Cragin;Nina von Arx;Edie Falco;Hope W. Sacharoff;Debi Mazar","Woody Allen","United States"
"204",107426,"Little Buddha (1993)","Drama",1994-05-25,"1994","5","FranceLiechtensteinUnited Kingdom","CiBy 2000;Serprocor Anstalt;Recorded Picture Company (RPC)",3.5e+07,873983,123,"Keanu Reeves;Bridget Fonda;Ruocheng Ying;Chris Isaak;Alex Wiesendanger;Raju Lal;Greishma Makar Singh;Sogyal Rinpoche;Ven. Khyongla Rato Rinpoche;Ven. Geshe Tsultim Gyelsen;Jo Champa;Jigme Kunsang;Thubtem Jampa;Surekha Sikri;T.K. Lama;Doma Tshomo;Mantu Lal;Mountain Yogi","Bernardo Bertolucci","France"
"208",110588,"Mrs. Parker and the Vicious Circle (1994)","Drama",1994-11-23,"1994","11","United StatesCanada","Fine Line Features;Mayfair Entertainment;Miramax",7e+06,74512,125,"Jennifer Jason Leigh;Campbell Scott;Matthew Broderick;Peter Gallagher;Jennifer Beals;Andrew McCarthy;Wallace Shawn;Martha Plimpton;Sam Robards;Lili Taylor;James Le Gros;Gwyneth Paltrow;Nick Cassavetes;David Thornton;Heather Graham;Tom McGowan;Chip Zien;Gary Basaraba","Alan Rudolph","United States"
